17/03/22 22:57:58 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/22 22:57:59 INFO client.RMProxy: Connecting to ResourceManager at cluster-hw3-m/10.138.0.5:8032
17/03/22 22:58:00 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/22 22:58:04 INFO input.FileInputFormat: Total input paths to process : 3035
17/03/22 22:58:04 INFO mapreduce.JobSubmitter: number of splits:3035
17/03/22 22:58:04 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490223099926_0001
17/03/22 22:58:05 INFO impl.YarnClientImpl: Submitted application application_1490223099926_0001
17/03/22 22:58:05 INFO mapreduce.Job: The url to track the job: http://cluster-hw3-m:8088/proxy/application_1490223099926_0001/
17/03/22 22:58:05 INFO mapreduce.Job: Running job: job_1490223099926_0001
17/03/22 22:58:13 INFO mapreduce.Job: Job job_1490223099926_0001 running in uber mode : false
17/03/22 22:58:13 INFO mapreduce.Job:  map 0% reduce 0%
17/03/22 22:58:40 INFO mapreduce.Job:  map 1% reduce 0%
17/03/22 22:59:04 INFO mapreduce.Job:  map 2% reduce 0%
17/03/22 22:59:35 INFO mapreduce.Job:  map 3% reduce 0%
17/03/22 23:00:04 INFO mapreduce.Job:  map 4% reduce 0%
17/03/22 23:00:31 INFO mapreduce.Job:  map 5% reduce 0%
17/03/22 23:01:00 INFO mapreduce.Job:  map 6% reduce 0%
17/03/22 23:01:29 INFO mapreduce.Job:  map 7% reduce 0%
17/03/22 23:01:55 INFO mapreduce.Job:  map 8% reduce 0%
17/03/22 23:02:23 INFO mapreduce.Job:  map 9% reduce 0%
17/03/22 23:02:54 INFO mapreduce.Job:  map 10% reduce 0%
17/03/22 23:03:21 INFO mapreduce.Job:  map 11% reduce 0%
17/03/22 23:03:49 INFO mapreduce.Job:  map 12% reduce 0%
17/03/22 23:04:18 INFO mapreduce.Job:  map 13% reduce 0%
17/03/22 23:04:44 INFO mapreduce.Job:  map 14% reduce 0%
17/03/22 23:05:12 INFO mapreduce.Job:  map 15% reduce 0%
17/03/22 23:05:40 INFO mapreduce.Job:  map 16% reduce 0%
17/03/22 23:06:06 INFO mapreduce.Job:  map 17% reduce 0%
17/03/22 23:06:34 INFO mapreduce.Job:  map 18% reduce 0%
17/03/22 23:07:01 INFO mapreduce.Job:  map 19% reduce 0%
17/03/22 23:07:30 INFO mapreduce.Job:  map 20% reduce 0%
17/03/22 23:07:57 INFO mapreduce.Job:  map 20% reduce 1%
17/03/22 23:07:58 INFO mapreduce.Job:  map 21% reduce 1%
17/03/22 23:08:27 INFO mapreduce.Job:  map 22% reduce 1%
17/03/22 23:08:53 INFO mapreduce.Job:  map 23% reduce 1%
17/03/22 23:09:21 INFO mapreduce.Job:  map 24% reduce 1%
17/03/22 23:09:50 INFO mapreduce.Job:  map 25% reduce 1%
17/03/22 23:10:17 INFO mapreduce.Job:  map 26% reduce 1%
17/03/22 23:10:49 INFO mapreduce.Job:  map 27% reduce 1%
17/03/22 23:11:15 INFO mapreduce.Job:  map 28% reduce 1%
17/03/22 23:11:43 INFO mapreduce.Job:  map 29% reduce 1%
17/03/22 23:12:14 INFO mapreduce.Job:  map 30% reduce 1%
17/03/22 23:12:39 INFO mapreduce.Job:  map 31% reduce 1%
17/03/22 23:13:09 INFO mapreduce.Job:  map 32% reduce 1%
17/03/22 23:13:37 INFO mapreduce.Job:  map 33% reduce 1%
17/03/22 23:14:06 INFO mapreduce.Job:  map 34% reduce 1%
17/03/22 23:14:32 INFO mapreduce.Job:  map 35% reduce 1%
17/03/22 23:15:00 INFO mapreduce.Job:  map 36% reduce 1%
17/03/22 23:15:28 INFO mapreduce.Job:  map 37% reduce 1%
17/03/22 23:15:57 INFO mapreduce.Job:  map 38% reduce 1%
17/03/22 23:16:25 INFO mapreduce.Job:  map 39% reduce 1%
17/03/22 23:16:50 INFO mapreduce.Job:  map 40% reduce 1%
17/03/22 23:17:19 INFO mapreduce.Job:  map 41% reduce 2%
17/03/22 23:17:48 INFO mapreduce.Job:  map 42% reduce 2%
17/03/22 23:18:15 INFO mapreduce.Job:  map 43% reduce 2%
17/03/22 23:18:43 INFO mapreduce.Job:  map 44% reduce 2%
17/03/22 23:19:12 INFO mapreduce.Job:  map 45% reduce 2%
17/03/22 23:19:29 INFO mapreduce.Job:  map 45% reduce 3%
17/03/22 23:19:41 INFO mapreduce.Job:  map 46% reduce 3%
17/03/22 23:20:10 INFO mapreduce.Job:  map 47% reduce 3%
17/03/22 23:20:38 INFO mapreduce.Job:  map 48% reduce 3%
17/03/22 23:21:07 INFO mapreduce.Job:  map 49% reduce 3%
17/03/22 23:21:37 INFO mapreduce.Job:  map 50% reduce 3%
17/03/22 23:22:03 INFO mapreduce.Job:  map 51% reduce 3%
17/03/22 23:22:31 INFO mapreduce.Job:  map 52% reduce 3%
17/03/22 23:23:00 INFO mapreduce.Job:  map 53% reduce 3%
17/03/22 23:23:27 INFO mapreduce.Job:  map 54% reduce 3%
17/03/22 23:23:56 INFO mapreduce.Job:  map 55% reduce 3%
17/03/22 23:24:24 INFO mapreduce.Job:  map 56% reduce 3%
17/03/22 23:24:52 INFO mapreduce.Job:  map 57% reduce 3%
17/03/22 23:25:20 INFO mapreduce.Job:  map 58% reduce 3%
17/03/22 23:25:47 INFO mapreduce.Job:  map 59% reduce 3%
17/03/22 23:26:16 INFO mapreduce.Job:  map 60% reduce 3%
17/03/22 23:26:46 INFO mapreduce.Job:  map 61% reduce 3%
17/03/22 23:27:12 INFO mapreduce.Job:  map 62% reduce 3%
17/03/22 23:27:40 INFO mapreduce.Job:  map 63% reduce 3%
17/03/22 23:27:58 INFO mapreduce.Job:  map 63% reduce 4%
17/03/22 23:28:09 INFO mapreduce.Job:  map 64% reduce 4%
17/03/22 23:28:36 INFO mapreduce.Job:  map 65% reduce 4%
17/03/22 23:29:04 INFO mapreduce.Job:  map 66% reduce 4%
17/03/22 23:29:30 INFO mapreduce.Job:  map 67% reduce 4%
17/03/22 23:29:57 INFO mapreduce.Job:  map 68% reduce 4%
17/03/22 23:30:24 INFO mapreduce.Job:  map 69% reduce 4%
17/03/22 23:30:52 INFO mapreduce.Job:  map 70% reduce 4%
17/03/22 23:31:19 INFO mapreduce.Job:  map 71% reduce 4%
17/03/22 23:31:46 INFO mapreduce.Job:  map 72% reduce 4%
17/03/22 23:32:12 INFO mapreduce.Job:  map 73% reduce 4%
17/03/22 23:32:39 INFO mapreduce.Job:  map 74% reduce 4%
17/03/22 23:33:08 INFO mapreduce.Job:  map 75% reduce 4%
17/03/22 23:33:33 INFO mapreduce.Job:  map 76% reduce 4%
17/03/22 23:33:59 INFO mapreduce.Job:  map 77% reduce 4%
17/03/22 23:34:26 INFO mapreduce.Job:  map 78% reduce 4%
17/03/22 23:34:54 INFO mapreduce.Job:  map 79% reduce 4%
17/03/22 23:35:33 INFO mapreduce.Job:  map 80% reduce 4%
17/03/22 23:36:01 INFO mapreduce.Job:  map 81% reduce 4%
17/03/22 23:36:18 INFO mapreduce.Job:  map 81% reduce 5%
17/03/22 23:36:28 INFO mapreduce.Job:  map 82% reduce 5%
17/03/22 23:36:55 INFO mapreduce.Job:  map 83% reduce 5%
17/03/22 23:37:25 INFO mapreduce.Job:  map 84% reduce 5%
17/03/22 23:37:51 INFO mapreduce.Job:  map 85% reduce 5%
17/03/22 23:38:16 INFO mapreduce.Job:  map 86% reduce 5%
17/03/22 23:38:42 INFO mapreduce.Job:  map 87% reduce 5%
17/03/22 23:39:09 INFO mapreduce.Job:  map 88% reduce 5%
17/03/22 23:39:36 INFO mapreduce.Job:  map 89% reduce 5%
17/03/22 23:40:03 INFO mapreduce.Job:  map 90% reduce 5%
17/03/22 23:40:29 INFO mapreduce.Job:  map 91% reduce 5%
17/03/22 23:40:55 INFO mapreduce.Job:  map 92% reduce 5%
17/03/22 23:41:22 INFO mapreduce.Job:  map 93% reduce 5%
17/03/22 23:41:49 INFO mapreduce.Job:  map 94% reduce 5%
17/03/22 23:42:15 INFO mapreduce.Job:  map 95% reduce 5%
17/03/22 23:42:40 INFO mapreduce.Job:  map 96% reduce 5%
17/03/22 23:43:08 INFO mapreduce.Job:  map 97% reduce 5%
17/03/22 23:43:35 INFO mapreduce.Job:  map 98% reduce 5%
17/03/22 23:44:01 INFO mapreduce.Job:  map 99% reduce 5%
17/03/22 23:44:16 INFO mapreduce.Job:  map 99% reduce 6%
17/03/22 23:44:26 INFO mapreduce.Job:  map 100% reduce 6%
17/03/22 23:44:43 INFO mapreduce.Job:  map 100% reduce 7%
17/03/22 23:44:45 INFO mapreduce.Job:  map 100% reduce 10%
17/03/22 23:44:46 INFO mapreduce.Job:  map 100% reduce 16%
17/03/22 23:44:47 INFO mapreduce.Job:  map 100% reduce 19%
17/03/22 23:44:49 INFO mapreduce.Job:  map 100% reduce 23%
17/03/22 23:44:51 INFO mapreduce.Job:  map 100% reduce 24%
17/03/22 23:44:52 INFO mapreduce.Job:  map 100% reduce 25%
17/03/22 23:44:54 INFO mapreduce.Job:  map 100% reduce 26%
17/03/22 23:44:56 INFO mapreduce.Job:  map 100% reduce 27%
17/03/22 23:44:58 INFO mapreduce.Job:  map 100% reduce 28%
17/03/22 23:44:59 INFO mapreduce.Job:  map 100% reduce 29%
17/03/22 23:45:01 INFO mapreduce.Job:  map 100% reduce 30%
17/03/22 23:45:02 INFO mapreduce.Job:  map 100% reduce 31%
17/03/22 23:45:04 INFO mapreduce.Job:  map 100% reduce 32%
17/03/22 23:45:07 INFO mapreduce.Job:  map 100% reduce 33%
17/03/22 23:45:08 INFO mapreduce.Job:  map 100% reduce 34%
17/03/22 23:45:11 INFO mapreduce.Job:  map 100% reduce 35%
17/03/22 23:45:13 INFO mapreduce.Job:  map 100% reduce 36%
17/03/22 23:45:16 INFO mapreduce.Job:  map 100% reduce 37%
17/03/22 23:45:17 INFO mapreduce.Job:  map 100% reduce 38%
17/03/22 23:45:20 INFO mapreduce.Job:  map 100% reduce 39%
17/03/22 23:45:24 INFO mapreduce.Job:  map 100% reduce 40%
17/03/22 23:45:26 INFO mapreduce.Job:  map 100% reduce 44%
17/03/22 23:45:29 INFO mapreduce.Job:  map 100% reduce 45%
17/03/22 23:45:30 INFO mapreduce.Job:  map 100% reduce 49%
17/03/22 23:45:32 INFO mapreduce.Job:  map 100% reduce 50%
17/03/22 23:45:33 INFO mapreduce.Job:  map 100% reduce 51%
17/03/22 23:45:34 INFO mapreduce.Job:  map 100% reduce 55%
17/03/22 23:45:35 INFO mapreduce.Job:  map 100% reduce 56%
17/03/22 23:45:37 INFO mapreduce.Job:  map 100% reduce 57%
17/03/22 23:45:38 INFO mapreduce.Job:  map 100% reduce 58%
17/03/22 23:45:40 INFO mapreduce.Job:  map 100% reduce 59%
17/03/22 23:45:41 INFO mapreduce.Job:  map 100% reduce 62%
17/03/22 23:45:43 INFO mapreduce.Job:  map 100% reduce 63%
17/03/22 23:45:44 INFO mapreduce.Job:  map 100% reduce 64%
17/03/22 23:45:46 INFO mapreduce.Job:  map 100% reduce 65%
17/03/22 23:45:47 INFO mapreduce.Job:  map 100% reduce 66%
17/03/22 23:45:49 INFO mapreduce.Job:  map 100% reduce 67%
17/03/22 23:45:50 INFO mapreduce.Job:  map 100% reduce 68%
17/03/22 23:45:52 INFO mapreduce.Job:  map 100% reduce 69%
17/03/22 23:45:53 INFO mapreduce.Job:  map 100% reduce 73%
17/03/22 23:45:55 INFO mapreduce.Job:  map 100% reduce 74%
17/03/22 23:45:56 INFO mapreduce.Job:  map 100% reduce 75%
17/03/22 23:45:58 INFO mapreduce.Job:  map 100% reduce 76%
17/03/22 23:45:59 INFO mapreduce.Job:  map 100% reduce 77%
17/03/22 23:46:01 INFO mapreduce.Job:  map 100% reduce 78%
17/03/22 23:46:04 INFO mapreduce.Job:  map 100% reduce 79%
17/03/22 23:46:05 INFO mapreduce.Job:  map 100% reduce 80%
17/03/22 23:46:10 INFO mapreduce.Job:  map 100% reduce 84%
17/03/22 23:46:11 INFO mapreduce.Job:  map 100% reduce 85%
17/03/22 23:46:13 INFO mapreduce.Job:  map 100% reduce 86%
17/03/22 23:46:14 INFO mapreduce.Job:  map 100% reduce 90%
17/03/22 23:46:16 INFO mapreduce.Job:  map 100% reduce 91%
17/03/22 23:46:17 INFO mapreduce.Job:  map 100% reduce 92%
17/03/22 23:46:19 INFO mapreduce.Job:  map 100% reduce 93%
17/03/22 23:46:20 INFO mapreduce.Job:  map 100% reduce 94%
17/03/22 23:46:23 INFO mapreduce.Job:  map 100% reduce 95%
17/03/22 23:46:26 INFO mapreduce.Job:  map 100% reduce 96%
17/03/22 23:46:29 INFO mapreduce.Job:  map 100% reduce 97%
17/03/22 23:46:32 INFO mapreduce.Job:  map 100% reduce 98%
17/03/22 23:46:35 INFO mapreduce.Job:  map 100% reduce 99%
17/03/22 23:46:41 INFO mapreduce.Job:  map 100% reduce 100%
17/03/22 23:46:47 INFO mapreduce.Job: Job job_1490223099926_0001 completed successfully
17/03/22 23:46:47 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3421436720
		FILE: Number of bytes written=7223120944
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141353443
		GS: Number of bytes written=234774540
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427608
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3035
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=3035
		Launched reduce tasks=13
		Rack-local map tasks=3035
		Total time spent by all maps in occupied slots (ms)=55046283
		Total time spent by all reduces in occupied slots (ms)=26687436
		Total time spent by all map tasks (ms)=18348761
		Total time spent by all reduce tasks (ms)=4447906
		Total vcore-milliseconds taken by all map tasks=18348761
		Total vcore-milliseconds taken by all reduce tasks=8895812
		Total megabyte-milliseconds taken by all map tasks=56367393792
		Total megabyte-milliseconds taken by all reduce tasks=27327934464
	Map-Reduce Framework
		Map input records=25103
		Map output records=210685669
		Map output bytes=3000065281
		Map output materialized bytes=3421655168
		Input split bytes=427608
		Combine input records=0
		Combine output records=0
		Reduce input groups=1221244
		Reduce shuffle bytes=3421655168
		Reduce input records=210685669
		Reduce output records=1221244
		Spilled Records=421371338
		Shuffled Maps =36420
		Failed Shuffles=0
		Merged Map outputs=36420
		GC time elapsed (ms)=342342
		CPU time spent (ms)=8463640
		Physical memory (bytes) snapshot=1128388608000
		Virtual memory (bytes) snapshot=13422756614144
		Total committed heap usage (bytes)=1017999523840
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=1141353443
	File Output Format Counters 
		Bytes Written=234774540
Job output is complete
